Filename,Duration (seconds),Chroma_stft,Spectral_centroid,Spectral_bandwidth,Spectral_rolloff,Rmse,Zero_crossing_rate
common_voice_fi_25020966.mp3,6.156009070294784,0.35266015,2239.33280407614,2177.6133116338337,4328.94287109375,0.038480386,0.13577706473214285
common_voice_fi_25020949.mp3,5.616009070294784,0.3581305,2278.1993179718033,2335.315231137942,4638.447709517045,0.036004808,0.12146904054752067
common_voice_fi_25020947.mp3,3.168027210884354,0.43295678,3202.5799545969953,2888.008232337778,6533.598205120894,0.01947038,0.19341640054744524
common_voice_fi_25020942.mp3,2.628027210884354,0.47684202,3138.8085384252818,2874.9008363683215,6468.460886101973,0.0165161,0.19390762061403508
common_voice_fi_25020948.mp3,6.84,0.3584897,2382.8310037798815,2263.5904518879856,4563.469693458686,0.031022687,0.14557402012711865
common_voice_fi_25020941.mp3,6.84,0.3178495,1921.9607895228837,2115.042697552107,3727.5069518008477,0.034672912,0.10639896716101695
common_voice_fi_25020940.mp3,3.2760090702947844,0.43720463,3027.9014278286572,2629.398776364567,5863.021119883363,0.021347394,0.19710401078345072
common_voice_fi_25020936.mp3,3.78,0.42708817,2728.158744132633,2540.345596952867,5284.617942388803,0.03294778,0.17157244536042945
common_voice_fi_25020938.mp3,4.14,0.37495664,2845.7427755671897,2504.9664562025323,5456.321196316341,0.017706005,0.1659010562150838
common_voice_fi_25020937.mp3,4.176009070294785,0.38705093,2998.466904433541,2784.538967823991,6045.68603515625,0.026026106,0.16974012586805556
common_voice_fi_25020939.mp3,8.208027210884353,0.37055692,2477.1539090139136,2329.7707787610157,4715.9539691472455,0.0305601,0.15213133386299435
common_voice_fi_25020935.mp3,4.788027210884354,0.41280994,2806.6118968770757,2456.2504937387525,5252.437160326087,0.03540614,0.18584408967391305
common_voice_fi_25020934.mp3,2.8080272108843536,0.3712828,3267.590069363423,2840.746252621893,6552.233382295971,0.028013103,0.19032073217975207
common_voice_fi_22987574.mp3,3.3360090702947844,0.43173763,1818.9849393481486,1716.957912354941,3270.5047607421875,0.044266175,0.11077880859375
common_voice_fi_25020933.mp3,4.8960090702947845,0.36576253,2319.0337286592567,2441.9249639460486,4789.147659952607,0.036103256,0.12555076273696683
common_voice_fi_22987573.mp3,4.344036281179139,0.40675148,1880.0016595060822,1805.6522891100965,3428.990790184508,0.04001028,0.1165070229388298
