Filename,Duration (seconds),Chroma_stft,Spectral_centroid,Spectral_bandwidth,Spectral_rolloff,Rmse,Zero_crossing_rate
music_french_4.wav,57.85600907029478,0.25567,1231.1300254044377,1251.809100205727,2034.343316581812,0.022236945,0.06845695287419744
music_french_1.wav,60.54403628117914,0.25278133,1126.545205906591,1272.9132158533487,1910.0149330185966,0.047859784,0.05681324590203221
music_french_5.wav,74.49600907029479,0.2174502,1176.3811462356946,1253.8901481339753,1904.2189310703295,0.028692681,0.06534280417380804
music_french_3.wav,85.80267573696145,0.23649791,1049.801295906873,1151.7744537565502,1820.9422718394887,0.02470876,0.05502041903409091
music_french_10.wav,35.9253514739229,0.26382717,1771.5281966848308,1917.3841128073566,3291.311148710029,0.027437722,0.08207446352147933
music_french_2.wav,87.68,0.24411869,1017.5576757666547,1144.7056695085216,1725.5495781932586,0.06012236,0.05310902129666402
music_french_7.wav,64.21333333333334,0.23461485,1099.1077612318843,1389.355240036432,1958.750773200244,0.027415967,0.05029049733369487
music_french_8.wav,75.90403628117915,0.24458198,1335.0248213119141,1631.1468668487692,2445.783895292425,0.014267488,0.056513364178647905
music_french_9.wav,90.32535147392291,0.2305654,1307.7084750278898,1552.1338227674503,2281.6172402193124,0.07288195,0.05591322401188946
music_french_6.wav,53.973333333333336,0.24422601,1255.9027051024639,1628.5029416703924,2254.4152280745966,0.016581772,0.054566112231182795
