Filename,Duration (seconds),Chroma_stft,Spectral_centroid,Spectral_bandwidth,Spectral_rolloff,Rmse,Zero_crossing_rate
music_english_2.wav,113.73133786848072,0.24916245,1121.9057104656818,889.7638916848463,1866.580153475199,0.100945435,0.06763517586497245
music_english_6.wav,52.10557823129252,0.25518322,1380.68457826756,1142.0724880910818,2528.4056910321547,0.15092771,0.07787161574331848
music_english_10.wav,81.02403628117914,0.3018551,1086.7406355290198,1409.431877051541,1876.2546239814649,0.06615721,0.145258495254298
music_english_1.wav,20.48,0.32630467,1214.847671925908,943.388404731556,1941.390185933961,0.13348566,0.07585391155860702
music_english_3.wav,85.58875283446712,0.28817144,1101.0686909874821,861.4341460019787,1757.032282979048,0.087381035,0.07037686254068348
music_english_7.wav,68.87038548752834,0.27393076,1359.315296527759,1192.580391054345,2643.6706110970676,0.17699274,0.07078745102376137
music_english_4.wav,50.61950113378685,0.24677007,1241.2758667628614,967.5734230509013,2120.8378556997936,0.14197542,0.07225510266219624
music_english_5.wav,39.42748299319728,0.26671502,1326.1195459101605,1134.7165966836883,2450.6090582925617,0.119571574,0.07692053459755739
music_english_9.wav,77.32244897959184,0.2674418,933.249447144937,952.2891092050727,1669.7670571548522,0.081953965,0.051096118845691985
music_english_8.wav,19.922721088435374,0.23292233,883.7362726029519,938.0817597470359,1503.7771311572321,0.11165206,0.05062436335855646
