Filename,Duration (seconds),Chroma_stft,Spectral_centroid,Spectral_bandwidth,Spectral_rolloff,Rmse,Zero_crossing_rate
music_spanish_1.wav,74.06934240362811,0.21550913,1290.5233396293897,1115.988995422523,2208.3413591056033,0.10850256,0.07678306842672414
music_spanish_10.wav,25.21687074829932,0.2341353,995.3703826442991,933.1833967332652,1849.5971567387305,0.059944917,0.0642577226598436
music_spanish_12.wav,65.8053514739229,0.2802745,959.2276324697798,845.6579589893526,1601.5576171875,0.12295423,0.0589788635361552
music_spanish_11.wav,39.613242630385486,0.26282522,1018.077081345141,846.2809292417659,1777.485814957711,0.0759327,0.06750609850981254
music_spanish_4.wav,83.59183673469387,0.2415264,1240.8691287773438,1009.6785260612205,2193.0320597794016,0.13218027,0.07387094622153569
music_spanish_14.wav,29.024943310657598,0.20907688,1015.2026853221474,787.741822375023,1646.0335052270684,0.19351801,0.06655847197242207
music_spanish_13.wav,63.85487528344671,0.32529196,818.8722396696973,762.1296122815127,1392.2808698115457,0.085537754,0.047717555831970196
music_spanish_9.wav,48.99410430839002,0.19485167,878.7698298727848,749.2639145559667,1583.6441741177168,0.055271454,0.0576743194131928
music_spanish_17.wav,84.0562358276644,0.25765607,987.0269551413136,828.4782743087147,1554.3838715889085,0.15210986,0.06349247445457055
music_spanish_15.wav,24.427392290249433,0.24254784,1087.213971562808,896.3685878998032,1848.9823300614316,0.13838421,0.06872477445394112
music_spanish_16.wav,17.22920634920635,0.3402631,1172.568106915864,957.890224874051,2023.9472051648722,0.0775411,0.07528665986709286
music_spanish_3.wav,116.93569160997733,0.29107836,1550.466574163415,1162.9842627962976,2723.999357876712,0.16376846,0.10730923199573159
music_spanish_8.wav,59.76816326530612,0.19064687,794.4275884837789,690.3936004805746,1258.743249393204,0.1129178,0.050969546419902916
music_spanish_2.wav,114.56725623582767,0.33790436,1464.1109888201597,1158.6321783711323,2605.3059549534573,0.17186421,0.09401496802178318
