Filename,Duration (seconds),Chroma_stft,Spectral_centroid,Spectral_bandwidth,Spectral_rolloff,Rmse,Zero_crossing_rate
music_finnish_11.wav,50.6453514739229,0.24472547,1219.873346957104,1565.0927258698614,1935.5507463407998,0.013240008,0.05663861100767644
music_finnish_10.wav,38.54512471655329,0.31619406,1437.5241690128055,1380.115106294578,2247.302826681028,0.026473965,0.08259361124698976
music_finnish_4.wav,42.24,0.2301861,1168.1124951864829,1589.5820386447724,1941.3779860276443,0.017629627,0.05136611435439561
music_finnish_3.wav,51.02934240362812,0.32602006,1745.1789749880736,1829.9469644173782,3092.267895352309,0.06307365,0.0827892188921747
music_finnish_2.wav,49.92,0.24776919,1050.6089463590758,1350.9982500699564,1664.1560456031978,0.026634416,0.053951671511627906
music_finnish_5.wav,61.909342403628116,0.22836405,1312.0281307286696,1465.4006909644693,2110.8554149237207,0.022092795,0.06346063431524185
music_finnish_6.wav,66.6453514739229,0.3078153,1362.1962032949993,1188.4276016963145,2052.0595060246865,0.036245674,0.08353776177725532
music_finnish_1.wav,40.32,0.27342686,1317.1088743021423,1430.8975136433244,2251.769323793718,0.028437484,0.06396596817429476
music_finnish_7.wav,60.416009070294784,0.31196317,1362.8573817388694,1330.94177665831,2165.622044415954,0.018050972,0.07608367661894697
music_finnish_8.wav,31.02185941043084,0.31808874,1468.274513978183,1433.0699894156069,2376.0448196171465,0.019281661,0.08101816683807031
music_finnish_9.wav,43.003356009070295,0.25749567,1476.7582418507116,1547.6155821531972,2371.877094892573,0.016031837,0.08074506501281706
